ElectDist,wfp_vote_totals,vote_totals,wfp_pct
23001,14,295,4.745762711864407
23002,21,289,7.26643598615917
23003,6,99,6.0606060606060606
23004,16,391,4.092071611253197
23005,21,336,6.25
23006,19,371,5.121293800539084
23007,17,441,3.854875283446712
23008,39,443,8.803611738148984
23009,39,385,10.12987012987013
23010,31,465,6.666666666666667
23011,39,653,5.972434915773354
23012,23,199,11.557788944723619
23013,55,535,10.280373831775702
23014,10,319,3.134796238244514
23015,13,421,3.0878859857482186
23016,12,272,4.411764705882353
23017,9,186,4.838709677419355
23018,37,594,6.228956228956229
23019,6,125,4.8
23020,33,841,3.9239001189060643
23021,18,608,2.960526315789474
23022,12,294,4.081632653061225
23023,4,204,1.9607843137254901
23024,11,372,2.956989247311828
23025,11,487,2.2587268993839835
23026,10,281,3.5587188612099645
23027,2,169,1.183431952662722
23028,13,501,2.594810379241517
23029,6,172,3.488372093023256
23030,12,223,5.381165919282512
23031,15,501,2.9940119760479043
23032,17,529,3.213610586011342
23033,12,233,5.150214592274678
23034,7,256,2.734375
23035,8,177,4.519774011299435
23036,10,217,4.608294930875576
23037,24,362,6.629834254143646
23038,17,266,6.390977443609023
23039,0,60,0.0
23040,6,331,1.8126888217522659
23041,15,329,4.5592705167173255
23042,11,274,4.014598540145985
23043,2,8,25.0
23044,21,564,3.723404255319149
23045,7,346,2.023121387283237
23046,20,523,3.8240917782026767
23047,21,364,5.769230769230769
23048,16,377,4.244031830238727
23049,12,494,2.42914979757085
23050,6,181,3.314917127071823
23051,12,370,3.2432432432432434
23052,9,225,4.0
23053,17,423,4.0189125295508275
23054,15,398,3.7688442211055277
23055,7,150,4.666666666666667
23056,11,161,6.832298136645963
23057,6,228,2.6315789473684212
23058,17,132,12.878787878787879
23059,4,102,3.9215686274509802
23060,13,296,4.391891891891892
23061,0,10,0.0
23062,16,443,3.6117381489841986
23063,12,257,4.669260700389105
23064,2,136,1.4705882352941178
23065,0,0,0.0
23070,0,0,0.0
24001,4,164,2.4390243902439024
24002,9,224,4.017857142857143
24003,13,422,3.080568720379147
24004,9,394,2.284263959390863
24005,5,412,1.2135922330097086
24006,17,459,3.7037037037037037
24007,17,356,4.775280898876405
24008,9,477,1.8867924528301887
24009,9,586,1.5358361774744027
24010,21,535,3.925233644859813
24011,13,350,3.7142857142857144
24012,4,266,1.5037593984962405
24013,23,454,5.066079295154185
24014,10,415,2.4096385542168677
24015,6,351,1.7094017094017093
24017,3,77,3.896103896103896
24018,8,263,3.041825095057034
24019,16,401,3.9900249376558605
24020,2,161,1.2422360248447204
24021,30,275,10.909090909090908
24022,3,42,7.142857142857143
24023,9,325,2.769230769230769
24024,19,225,8.444444444444445
24025,12,133,9.022556390977444
24026,13,259,5.019305019305019
24027,4,185,2.1621621621621623
24028,18,250,7.2
24029,16,429,3.7296037296037294
24030,19,311,6.109324758842444
24031,18,412,4.368932038834951
24032,9,411,2.18978102189781
24033,1,14,7.142857142857143
24034,2,112,1.7857142857142858
24035,8,178,4.49438202247191
24036,33,511,6.457925636007828
24037,11,252,4.365079365079365
24038,61,622,9.807073954983922
24039,28,442,6.334841628959276
24040,12,299,4.013377926421405
24041,8,219,3.65296803652968
24042,6,318,1.8867924528301887
24043,18,415,4.337349397590361
24044,11,216,5.092592592592593
24045,3,102,2.9411764705882355
24046,29,734,3.9509536784741144
24047,19,569,3.3391915641476273
24048,6,201,2.985074626865672
24049,12,294,4.081632653061225
24050,7,103,6.796116504854369
24051,21,589,3.565365025466893
24052,19,712,2.668539325842697
24053,19,911,2.0856201975850714
24054,5,126,3.9682539682539684
24055,15,421,3.5629453681710213
24056,15,513,2.9239766081871346
24057,18,396,4.545454545454546
24058,21,420,5.0
24059,13,439,2.9612756264236904
24060,28,651,4.301075268817204
24061,31,608,5.098684210526316
24062,22,607,3.624382207578254
24063,15,277,5.415162454873646
24064,19,452,4.20353982300885
24065,21,553,3.7974683544303796
24066,0,0,0.0
25001,34,680,5.0
25002,57,656,8.689024390243903
25003,9,104,8.653846153846153
25004,18,273,6.593406593406593
25005,38,673,5.646359583952452
25006,20,297,6.734006734006734
25007,1,57,1.7543859649122806
25008,1,40,2.5
25009,23,351,6.552706552706553
25010,1,18,5.555555555555555
25011,13,246,5.284552845528455
25012,24,427,5.620608899297424
25013,27,410,6.585365853658536
25014,15,343,4.373177842565598
25015,17,285,5.964912280701754
25016,11,264,4.166666666666667
25017,23,393,5.852417302798982
25018,26,486,5.349794238683128
25019,16,545,2.9357798165137616
25020,15,557,2.6929982046678638
